Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
73599;CARGA AP GILLETTE MACH 3  C/ 2UND(P&G);PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;1;1;0;R$ 25,15; R$ -   ;Ok
57461;CARGA AP GILLETTE MACH 3  SENSI C/2UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;1;1;0;R$ 28,30; R$ -   ;Ok
111957;CARGA AP GILLETTE MACH3 CARBONO 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;4;4;0;R$ 82,66; R$ -   ;Ok
71909;CARGA AP GILLETTE MACH3 CARBONO C/ 2UNID;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;2;2;0;R$ 29,63; R$ -   ;Ok
66296;CARGA AP GILLETTE MACH3 REG LV4 PG3;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;1;1;0;R$ 44,21; R$ -   ;Ok
68245;CARGA AP REFIL GILLETTE  VENUS 2UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;2;2;0;R$ 30,34; R$ -   ;Ok
68242;CARGA AP REFIL GILLETTE MACH3 SEN L4P3;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LAMINAS DEPILATORIAS;2;2;0;R$ 51,21; R$ -   ;Ok
77975;CARGA GILLETE MACH3 CORPO 2UN;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > LINHA BARBEAR;3;3;0;R$ 26,50; R$ -   ;Ok
63221;CARISO+DICL DE SODIO+PARAC+CAF 125/50/300/30MG C/ 15CP;PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;2;2;0;R$ 5,45; R$ -   ;Ok
119299;CARREGADOR UNIVERSAL;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > ACESSORIOS;4;4;0;R$ 4,50; R$ -   ;Ok
102516;FRALDA PERSONAL TOTAL PROTECT PANTS HIPER XG LV40 PG38;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;1;0;-1;R$ 43,24;-R$ 43,24;Perda
59767;CARVEDILOL 12,5 MG C/ 30 CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;4;4;0;R$ 2,88; R$ -   ;Ok
57056;CARVEDILOL 12,5 MG C/ 30CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;4;4;0;R$ 6,89; R$ -   ;Ok
1928;CARVEDILOL 12,5MG C/ 30CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 6,55; R$ -   ;Ok
1920;CARVEDILOL 25 MG C/ 30 CAP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 5,59; R$ -   ;Ok
57057;CARVEDILOL 25 MG C/ 30CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 9,93; R$ -   ;Ok
57053;CARVEDILOL 25MG C/ 30CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 8,41; R$ -   ;Ok
73628;CARVEDILOL 3,125 MG C/ 30 CP(BIO);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;4;4;0;R$ 2,71; R$ -   ;Ok
73556;CARVEDILOL 3,125 MG C/ 30 CP(LEG);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 4,35; R$ -   ;Ok
57054;CARVEDILOL 3,125MG C/ 30 CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 5,08; R$ -   ;Ok
59768;CARVEDILOL 6,25MG C/30 CP(BIOL);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 3,43; R$ -   ;Ok
57055;CARVEDILOL 6,25MG C/30 CP(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;5;5;0;R$ 5,81; R$ -   ;Ok
103524;CARVEDILOL 6,25MG C/30 CP(GERM);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;18;18;0;R$ 2,25; R$ -   ;Ok
1799;CARVEDILOL 6,25MG C/30 CP(MEDL);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;2;2;0;R$ 6,90; R$ -   ;Ok
106624;CARVEGRAN 12,5 MG C/ 30 CP;PRINCIPAL > 3 - SIMILARES > SIM_RX;2;2;0;R$ 6,45; R$ -   ;Ok
57204;CARVEGRAN 25MG 2 BL X C/ 15 CP;PRINCIPAL > 3 - SIMILARES > SIM USO CONT;2;2;0;R$ 10,83; R$ -   ;Ok
106622;CARVEGRAN 3,125 MG C/ 30 CP;PRINCIPAL > 3 - SIMILARES > SIM_RX;2;2;0;R$ 4,93; R$ -   ;Ok
57253;CASPACIL SHAMPOO 100ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;1;1;0;R$ 40,80; R$ -   ;Ok
1271;CAST DA INDIA VARIVAX 100MG C/30CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;2;2;0;R$ 19,39; R$ -   ;Ok
60610;CAST DA INDIA VARIVAX 300MG C/ 30CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;2;2;0;R$ 28,51; R$ -   ;Ok
1574;CATAFLAM 50MG 20DRG;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 41,09; R$ -   ;Ok
484;CATAFLAM EMULGEL GEL 30G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 20,45; R$ -   ;Ok
1269;CATAFLAM EMULGEL GEL 60G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 36,69; R$ -   ;Ok
57058;CATAFLAM SPORT ICE 60 G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 33,12; R$ -   ;Ok
102388;CD BARBIE GEL INF CONDOR C/FLU 100G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > LINHA INFANTIL;2;2;0;R$ 9,37; R$ -   ;Ok
703;CEBION EFERV LARANJ 1 G C/ 10CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 16,31; R$ -   ;Ok
64469;CEDRAFLON C/ 150ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 84,38; R$ -   ;Ok
63732;CEFALIUM ONE 750MG C/ 20CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 24,86; R$ -   ;Ok
741;CEFALIV C/ 12CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;8;8;0;R$ 15,43; R$ -   ;Ok
619;CELERG C/ 20CP;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;21;21;0;R$ 9,71; R$ -   ;Ok
