Cod Int;Descri��o;Classifica��o;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observa��es;
59287;CORT DE UNHA MUNDIAL FLEX UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > ACESSORIOS CUTELARIA;7;7;0;R$ 2,59; R$ -   ;Ok;
119443;CORTADOR DE COMPRIMIDOS 3B TRANSPARENTE;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 1 - 10%;1;1;0;R$ 4,55; R$ -   ;Ok;
58996;CORTADORES DE UNHAS UNHEX C/ 01 UN;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;1;1;0;R$ 11,01; R$ -   ;Ok;
311;CORTICORTEN 5MG C/ 20CP;PRINCIPAL > 3 - SIMILARES > SIM USO CONT SEM ONE;2;2;0;R$ 5,22; R$ -   ;Ok;
269;CORTITOP CR 10G;PRINCIPAL > 3 - SIMILARES > SIM RX BONIF;1;1;0;R$ 3,06; R$ -   ;Ok;
57103;CORUS 25MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 39,75; R$ -   ;Ok;
57102;CORUS 50MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;2;0;R$ 3,06; R$ -   ;Ok;
72560;CP HUGGIES CACHOS 360ML;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CONDICIONADOR INFANT;3;3;0;R$ 14,50; R$ -   ;Ok;
72558;CP HUGGIES HID & BRILHO ARIEL 360ML;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CONDICIONADOR INFANT;1;1;0;R$ 13,92; R$ -   ;Ok;
63934;CR  GB BABY&KIDS  GIBY&GABY CACH;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CONDICIONADOR INFANT;6;6;0;R$ 9,25; R$ -   ;Ok;
